Date : 2024-09-13 11:13:35
Directory : /home/jklasen/A-DRZ/argus
Total : 550 files,  89832 codes, 18732 comments, 19024 blanks, all 127588 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| C++                |        267 |     47,064 |     14,312 |     10,375 |     71,751 |
| Python             |        127 |     15,692 |      1,614 |      3,116 |     20,422 |
| HTML               |         29 |     13,353 |         37 |      2,229 |     15,619 |
| JavaScript         |         15 |      8,979 |      2,128 |      2,321 |     13,428 |
| YAML               |         33 |      1,543 |        377 |        387 |      2,307 |
| Markdown           |         14 |      1,190 |          7 |        310 |      1,507 |
| Docker             |          6 |        853 |         37 |         81 |        971 |
| JSON               |         19 |        427 |          0 |          5 |        432 |
| Shell Script       |         15 |        254 |        102 |         90 |        446 |
| PowerShell         |          2 |        122 |        112 |         40 |        274 |
| XML                |          8 |         89 |          2 |          6 |         97 |
| Batch              |          2 |         82 |          0 |         29 |        111 |
| CSS                |          6 |         76 |          2 |         12 |         90 |
| Ini                |          4 |         72 |          0 |         16 |         88 |
| reStructuredText   |          1 |         19 |          0 |          5 |         24 |
| JSON with Comments |          1 |         14 |          2 |          1 |         17 |
| Properties         |          1 |          3 |          0 |          1 |          4 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                         |        550 |     89,832 |     18,732 |     19,024 |    127,588 |
| . (Files)                                                                                                                 |         12 |        286 |         24 |         58 |        368 |
| app                                                                                                                       |        112 |     27,615 |      3,254 |      6,038 |     36,907 |
| app (Files)                                                                                                               |         11 |      2,847 |        225 |        569 |      3,641 |
| app/export                                                                                                                |          2 |        230 |         22 |         69 |        321 |
| app/mapping                                                                                                               |         26 |      3,116 |        367 |        802 |      4,285 |
| app/static                                                                                                                |         37 |      9,159 |      2,153 |      2,345 |     13,657 |
| app/static/default                                                                                                        |         37 |      9,159 |      2,153 |      2,345 |     13,657 |
| app/static/default (Files)                                                                                                |          8 |      7,030 |      2,006 |      2,124 |     11,160 |
| app/static/default/gradient_luts                                                                                          |         10 |         10 |          0 |          0 |         10 |
| app/static/default/js                                                                                                     |         10 |      1,845 |        145 |        220 |      2,210 |
| app/static/default/js (Files)                                                                                             |          6 |        856 |        124 |        216 |      1,196 |
| app/static/default/js/lib                                                                                                 |          4 |        989 |         21 |          4 |      1,014 |
| app/static/default/panellum                                                                                               |          2 |        110 |          2 |          1 |        113 |
| app/static/default/stitcher                                                                                               |          1 |        106 |          0 |          0 |        106 |
| app/static/default/ui-elements                                                                                            |          6 |         58 |          0 |          0 |         58 |
| app/templates                                                                                                             |         24 |     11,077 |         23 |      1,923 |     13,023 |
| app/thermal                                                                                                               |         10 |      1,048 |        409 |        278 |      1,735 |
| app/thermal (Files)                                                                                                       |          3 |        713 |        110 |        160 |        983 |
| app/thermal/plugins                                                                                                       |          7 |        335 |        299 |        118 |        752 |
| app/thermal/plugins/dji_thermal_sdk_v1.4_20220929                                                                         |          7 |        335 |        299 |        118 |        752 |
| app/thermal/plugins/dji_thermal_sdk_v1.4_20220929 (Files)                                                                 |          1 |         90 |          0 |         42 |        132 |
| app/thermal/plugins/dji_thermal_sdk_v1.4_20220929/tsdk-core                                                               |          4 |        205 |        299 |         68 |        572 |
| app/thermal/plugins/dji_thermal_sdk_v1.4_20220929/tsdk-core/api                                                           |          2 |        173 |        299 |         60 |        532 |
| app/thermal/plugins/dji_thermal_sdk_v1.4_20220929/tsdk-core/lib                                                           |          2 |         32 |          0 |          8 |         40 |
| app/thermal/plugins/dji_thermal_sdk_v1.4_20220929/tsdk-core/lib/linux                                                     |          2 |         32 |          0 |          8 |         40 |
| app/thermal/plugins/dji_thermal_sdk_v1.4_20220929/tsdk-core/lib/linux/release_x64                                         |          1 |         16 |          0 |          4 |         20 |
| app/thermal/plugins/dji_thermal_sdk_v1.4_20220929/tsdk-core/lib/linux/release_x86                                         |          1 |         16 |          0 |          4 |         20 |
| app/thermal/plugins/dji_thermal_sdk_v1.4_20220929/utility                                                                 |          2 |         40 |          0 |          8 |         48 |
| app/thermal/plugins/dji_thermal_sdk_v1.4_20220929/utility/bin                                                             |          2 |         40 |          0 |          8 |         48 |
| app/thermal/plugins/dji_thermal_sdk_v1.4_20220929/utility/bin/linux                                                       |          2 |         40 |          0 |          8 |         48 |
| app/thermal/plugins/dji_thermal_sdk_v1.4_20220929/utility/bin/linux/release_x64                                           |          1 |         20 |          0 |          4 |         24 |
| app/thermal/plugins/dji_thermal_sdk_v1.4_20220929/utility/bin/linux/release_x86                                           |          1 |         20 |          0 |          4 |         24 |
| app/utilities                                                                                                             |          2 |        138 |         55 |         52 |        245 |
| deprecated                                                                                                                |         25 |      5,354 |        469 |        929 |      6,752 |
| deprecated (Files)                                                                                                        |         23 |      5,246 |        449 |        891 |      6,586 |
| deprecated/webODM                                                                                                         |          2 |        108 |         20 |         38 |        166 |
| detection                                                                                                                 |         57 |      4,363 |        289 |        562 |      5,214 |
| detection (Files)                                                                                                         |          4 |        159 |         17 |         65 |        241 |
| detection/config                                                                                                          |         32 |      1,964 |         56 |         36 |      2,056 |
| detection/config/_base_                                                                                                   |         28 |      1,855 |         53 |         31 |      1,939 |
| detection/config/_base_ (Files)                                                                                           |          1 |         15 |          9 |          4 |         28 |
| detection/config/_base_/datasets                                                                                          |         12 |        595 |         12 |         12 |        619 |
| detection/config/_base_/models                                                                                            |         12 |      1,218 |         26 |         12 |      1,256 |
| detection/config/_base_/schedules                                                                                         |          3 |         27 |          6 |          3 |         36 |
| detection/config/custom                                                                                                   |          4 |        109 |          3 |          5 |        117 |
